season,league,team_name,team_abbreviation,playoffs,games_played,minutes_played,field_goals,field_goal_attempts,field_goal_percentage,three_pointers,three_point_attempts,three_point_percentage,two_pointers,two_point_attempts,two_point_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
2022,NBA,Phoenix Suns,PHO,True,82.0,19730.0,3581.0,7389.0,0.485,951.0,2616.0,0.364,2630.0,4773.0,0.551,1303.0,1635.0,0.797,801.0,2913.0,3714.0,2244.0,702.0,359.0,1060.0,1633.0,9416.0
2022,NBA,Portland Trail Blazers,POR,False,82.0,19730.0,3161.0,7144.0,0.442,1043.0,3017.0,0.346,2118.0,4127.0,0.513,1346.0,1771.0,0.76,854.0,2661.0,3515.0,1880.0,657.0,366.0,1187.0,1728.0,8711.0
2022,NBA,Sacramento Kings,SAC,False,82.0,19805.0,3321.0,7223.0,0.46,937.0,2722.0,0.344,2384.0,4501.0,0.53,1466.0,1908.0,0.768,784.0,2737.0,3521.0,1943.0,588.0,369.0,1156.0,1552.0,9045.0
2022,NBA,San Antonio Spurs,SAS,False,82.0,19805.0,3546.0,7601.0,0.467,925.0,2626.0,0.352,2621.0,4975.0,0.527,1262.0,1673.0,0.754,901.0,2815.0,3716.0,2289.0,626.0,403.0,1042.0,1483.0,9279.0
2022,NBA,Toronto Raptors,TOR,True,82.0,19855.0,3332.0,7489.0,0.445,979.0,2808.0,0.349,2353.0,4681.0,0.503,1327.0,1749.0,0.759,1095.0,2622.0,3717.0,1809.0,738.0,376.0,1021.0,1607.0,8970.0
2022,NBA,Utah Jazz,UTA,True,82.0,19730.0,3327.0,7067.0,0.471,1192.0,3308.0,0.36,2135.0,3759.0,0.568,1470.0,1916.0,0.767,884.0,2916.0,3800.0,1836.0,588.0,402.0,1149.0,1547.0,9316.0
2022,NBA,Washington Wizards,WAS,False,82.0,19830.0,3327.0,7056.0,0.472,860.0,2512.0,0.342,2467.0,4544.0,0.543,1393.0,1778.0,0.783,737.0,2798.0,3535.0,2052.0,522.0,406.0,1077.0,1545.0,8907.0
2022,NBA,League Average,,False,82.0,19792.0,3331.0,7224.0,0.461,1020.0,2885.0,0.354,2311.0,4340.0,0.533,1389.0,1793.0,0.775,847.0,2798.0,3645.0,2021.0,626.0,386.0,1129.0,1610.0,9071.0
2021,NBA,Atlanta Hawks,ATL,True,72.0,17405.0,2937.0,6281.0,0.468,895.0,2402.0,0.373,2042.0,3879.0,0.526,1417.0,1745.0,0.812,760.0,2525.0,3285.0,1737.0,503.0,342.0,953.0,1392.0,8186.0
2021,NBA,Boston Celtics,BOS,True,72.0,17380.0,2985.0,6401.0,0.466,979.0,2618.0,0.374,2006.0,3783.0,0.53,1160.0,1496.0,0.775,765.0,2421.0,3186.0,1689.0,556.0,383.0,1012.0,1471.0,8109.0
